year,coc_number,total_homeless,total_sheltered,total_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation
2017,AK-501,717.0,578.0,139.0,444146,9.04271026306481,2.24969911575317,14.6077146530151,13.3116703033447,19.3645610809326,33.922233581543,7.00008964538574,0,0,9.29489803314209,0,0,7.93574953079224,40.6757011413574,11.4392566680908,1.84200477600098,99.0,2.23641037940979,8674,24751,17812,2040,123722,48814,207750,149,-0.466562390327454,25.6898784637451,19.7865581512451,14.1425180435181,75.5603790283203,9.97286992457435,0.218806326389313,13.8000001907349,60.7999992370605,1.71000003814697,16.5
2010,AL-500,2273.0,1069.0,1204.0,939452,0.0,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,1029,1.23592507839203,0,1,10.0933122634888,47.6335334777832,13.9616508483887,4.67560005187988,85.0989685058594,,298811,29166,11965,304,252058,119393,489328,3759,,,,,,8.64690310368172,,38.0172805786133,77.7118759155273,4.45133686065674,73.8469085693359
2011,AL-500,1950.0,1024.0,926.0,937879,-5.6758206742324,1.75871050357819,21.216775894165,12.1884155273438,24.9629383087158,31.7696208953857,9.24621105194092,0,1695,1.23592507839203,0,1,9.59074115753174,47.6335334777832,15.9226303100586,4.85394096374512,87.8204650878906,7.45362949371338,304174,38703,13543,242,248758,118468,488372,99,,28.4439811706543,32.2736396789551,11.4535751342773,67.6729125976563,8.62912361388836,,39.3106384277344,82.3111801147461,3.87485432624817,49.952751159668
2012,AL-500,1707.0,1009.0,698.0,939885,-9.39495712417882,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,2371,1.23592507839203,0,1,8.56382751464844,47.6335334777832,16.0394096374512,4.83868265151978,90.9217758178711,,306264,38605,13897,221,247612,120441,489818,-1358,,,,,,8.77486748383047,,48.7962837219238,81.4275970458984,5.9374532699585,55.1544494628906
2013,AL-500,1469.0,960.0,509.0,943471,-10.7599124065283,1.75871050357819,21.216775894165,12.1884155273438,24.9629383087158,31.7696208953857,9.24621105194092,0,2621,1.23592507839203,0,1,6.82671499252319,47.6335334777832,15.9583072662354,4.78158760070801,91.6058578491211,7.45362949371338,308437,38305,14493,238,246505,125425,491768,20,,28.4439811706543,32.2736396789551,11.4535751342773,67.6729125976563,8.68556289878544,,47.6922302246094,79.0039672851563,8.63172435760498,52.4255027770996
2014,AL-500,1329.0,915.0,414.0,948653,-10.5775351050957,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,1486,1.23592507839203,0,1,6.13753223419189,47.6335334777832,15.8761949539185,4.84226894378662,92.735481262207,,311732,38101,14801,257,246399,129528,494568,2269,,,,,,8.51897268145465,,35.2507400512695,77.3474502563477,2.1232898235321,65.9090728759766
2015,AL-500,1153.0,916.0,237.0,951915,-8.09775242856439,1.86224758625031,19.4923305511475,12.1884155273438,24.9629383087158,31.7696208953857,8.24999332427979,0,1077,1.23592507839203,0,1,5.81964015960693,47.6335334777832,16.5412864685059,4.68344640731812,92.0119934082031,7.19157886505127,313703,38035,15124,262,245553,134065,496286,454,,29.4301300048828,32.0775985717773,9.14955806732178,65.9837112426758,8.61544224951808,,41.5939559936523,78.2260208129883,4.8896918296814,54.8288421630859
2016,AL-500,1228.0,1032.0,196.0,955722,-4.48008869732242,,,12.1884155273438,24.9629383087158,31.7696208953857,,0,1078,1.23592507839203,0,1,5.35298728942871,47.6335334777832,15.0618057250977,4.60897636413574,91.3611145019531,,316009,38426,15575,285,246007,138383,498588,978,,,,,,8.90128992684065,,41.309700012207,79.4228515625,3.0917329788208,58.8849792480469
2017,AL-500,1092.0,875.0,217.0,958302,-0.852476571257,1.86224758625031,19.4923305511475,12.1884155273438,24.9629383087158,31.7696208953857,8.24999332427979,0,591,1.23592507839203,0,1,5.35658359527588,47.6335334777832,13.066967010498,4.52810955047607,95.0837097167969,7.19157886505127,317339,39140,15938,298,245718,142843,499924,14,-0.0006589146796613,29.4301300048828,32.0775985717773,9.14955806732178,65.9837112426758,9.3181631810327,0.166727036237717,50.9953460693359,80.8743133544922,6.66987609863281,38.593376159668
2010,AL-501,883.0,482.0,401.0,590220,0.0,,,12.5391321182251,27.2319202423096,32.109203338623,,0,2018,1.71273577213287,1,0,10.8245811462402,46.713249206543,16.7759475708008,5.0570650100708,85.0468444824219,,159156,15523,8526,191,163873,82567,306633,3748,,,,,,8.39085425110976,,45.5192947387695,81.0799407958984,8.30632972717285,78.1647033691406
2011,AL-501,718.0,407.0,311.0,596430,-8.79037070116921,1.75433909893036,18.8578872680664,12.5391321182251,27.2319202423096,32.109203338623,15.7783222198486,0,1586,1.71273577213287,1,0,10.9077472686768,46.713249206543,18.0260887145996,5.31557464599609,83.6051483154297,4.63115835189819,159813,18115,8978,259,161707,84416,308312,2609,,26.5599784851074,34.0083503723145,14.0497150421143,76.6775207519531,8.36908799440001,,47.3050842285156,82.9801788330078,3.81149053573608,56.8999938964844
2012,AL-501,634.0,324.0,310.0,599766,-14.457121675177,,,12.5391321182251,27.2319202423096,32.109203338623,,0,1845,1.71273577213287,1,0,10.2213726043701,46.713249206543,17.4731483459473,5.33997631072998,84.7321319580078,,160460,18611,9225,255,160481,86386,310410,1455,,,,,,8.48182480007203,,55.9899520874023,83.3671646118164,2.91043138504028,45.4677276611328
2013,AL-501,493.0,260.0,233.0,603785,-16.7190963605481,1.75433909893036,18.8578872680664,12.5391321182251,27.2319202423096,32.109203338623,15.7783222198486,0,1979,1.71273577213287,1,0,8.66649627685547,46.713249206543,18.4882030487061,5.25630331039429,84.0918960571289,4.63115835189819,162136,18673,9411,244,159287,90339,312812,2154,,26.5599784851074,34.0083503723145,14.0497150421143,76.6775207519531,8.43749288809758,,55.2321701049805,80.6911315917969,2.90058612823486,68.1772689819336
2014,AL-501,598.0,461.0,137.0,608665,-17.2545628870114,,,12.5391321182251,27.2319202423096,32.109203338623,,0,2376,1.71273577213287,1,0,7.93607664108276,46.713249206543,18.0812110900879,5.34943866729736,85.1592102050781,,163311,19318,9548,261,158883,93647,315365,3567,,,,,,8.2211671656987,,43.2551460266113,79.9974746704102,2.96400308609009,67.8563079833984
2015,AL-501,578.0,364.0,214.0,613378,-14.171645654599,1.858393907547,18.8998394012451,12.5391321182251,27.2319202423096,32.109203338623,19.4248142242432,0,1714,1.71273577213287,1,0,7.23150014877319,46.713249206543,17.2343978881836,5.12877988815308,83.8680572509766,3.68171644210815,164052,19855,9843,255,158507,97112,318093,3083,,28.982967376709,33.6681289672852,11.6479225158691,74.54345703125,8.285453133174,,49.0496292114258,80.2495880126953,4.69377326965332,67.1088104248047
